CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
65605,Customer_65605,36,Female,Miami,2,32.87,485,1
18853,Customer_18853,62,Male,Miami,9,97.86,156,0
91068,Customer_91068,31,Female,Miami,19,37.45,445,1
43020,Customer_43020,34,Female,Los Angeles,5,87.4,133,1
29806,Customer_29806,58,Male,Los Angeles,8,74.93,131,0
93186,Customer_93186,46,Female,Houston,13,35.11,102,0
74741,Customer_74741,50,Male,New York,11,44.83,363,1
23718,Customer_23718,69,Female,New York,20,37.32,336,0
21103,Customer_21103,41,Male,Chicago,1,33.0,74,1
70225,Customer_70225,69,Female,Los Angeles,24,71.04,128,1
41946,Customer_41946,47,Male,Houston,13,51.67,275,0
43489,Customer_43489,44,Female,New York,11,85.82,461,1
67154,Customer_67154,62,Female,Chicago,22,66.08,210,1
46586,Customer_46586,23,Male,Miami,1,31.17,271,0
32575,Customer_32575,19,Male,Los Angeles,9,95.2,355,1
96486,Customer_96486,39,Male,Houston,17,62.96,211,0
8949,Customer_8949,58,Female,Los Angeles,23,68.38,57,0
76016,Customer_76016,24,Female,Miami,9,93.02,240,0
77857,Customer_77857,26,Male,Chicago,21,60.71,161,1
93565,Customer_93565,32,Male,New York,5,82.42,156,1
73749,Customer_73749,38,Male,Los Angeles,9,60.93,200,1
29143,Customer_29143,34,Male,Miami,14,32.85,187,0
5640,Customer_5640,54,Female,Houston,20,63.15,105,0
2375,Customer_2375,36,Male,New York,11,34.99,231,0
25248,Customer_25248,55,Female,Los Angeles,10,68.11,339,1
97988,Customer_97988,41,Male,Los Angeles,15,58.81,477,0
4102,Customer_4102,39,Female,Chicago,1,87.06,112,0
51728,Customer_51728,55,Male,Los Angeles,24,79.95,121,1
50446,Customer_50446,22,Female,Los Angeles,8,90.88,219,0
73547,Customer_73547,43,Male,Los Angeles,2,33.32,232,1
18047,Customer_18047,60,Female,Miami,24,56.33,150,0
71342,Customer_71342,30,Male,Miami,15,88.82,331,0
49458,Customer_49458,33,Male,Houston,10,84.63,225,1
81200,Customer_81200,55,Female,Houston,21,34.11,284,0
13620,Customer_13620,61,Male,New York,18,92.0,456,0
45042,Customer_45042,40,Male,Miami,15,34.25,306,1
65262,Customer_65262,18,Male,Los Angeles,8,89.62,361,1
39045,Customer_39045,70,Male,Houston,16,76.59,476,1
22599,Customer_22599,42,Male,Los Angeles,16,40.48,152,1
2057,Customer_2057,20,Male,Miami,11,46.15,64,0
44468,Customer_44468,30,Male,Chicago,15,99.75,217,0
75359,Customer_75359,29,Female,Miami,23,37.71,251,0
12707,Customer_12707,51,Female,Chicago,24,42.18,347,1
75548,Customer_75548,30,Female,Los Angeles,17,41.81,226,1
85399,Customer_85399,33,Male,Miami,20,69.87,253,0
10928,Customer_10928,57,Female,Houston,4,64.04,384,0
88480,Customer_88480,65,Male,Los Angeles,23,90.24,305,1
16448,Customer_16448,43,Female,Miami,10,69.41,194,0
25615,Customer_25615,19,Female,Miami,11,59.2,288,1
54217,Customer_54217,61,Male,Chicago,18,83.49,363,1
71486,Customer_71486,32,Female,Chicago,16,69.46,220,1
85482,Customer_85482,62,Male,Los Angeles,7,89.9,353,0
3050,Customer_3050,26,Male,New York,11,56.91,178,0
62736,Customer_62736,35,Male,Houston,18,75.62,94,1
50795,Customer_50795,53,Female,New York,23,79.38,156,0
67239,Customer_67239,30,Female,Chicago,22,43.74,407,1
65717,Customer_65717,52,Female,Los Angeles,15,36.56,437,0
3352,Customer_3352,65,Female,New York,23,33.06,221,0
25493,Customer_25493,43,Male,Los Angeles,5,75.3,279,0
89008,Customer_89008,24,Male,Chicago,22,90.44,256,0
68885,Customer_68885,67,Female,Houston,1,84.73,350,1
12746,Customer_12746,67,Female,Chicago,22,71.17,203,0
71725,Customer_71725,29,Female,New York,3,72.62,381,0
72492,Customer_72492,33,Female,Chicago,7,34.82,363,0
40905,Customer_40905,34,Female,New York,10,98.91,341,1
56153,Customer_56153,29,Female,Los Angeles,23,36.57,51,1
42289,Customer_42289,50,Male,New York,19,75.78,234,0
77655,Customer_77655,32,Male,Miami,19,58.77,258,0
42131,Customer_42131,49,Male,New York,13,84.59,93,1
51264,Customer_51264,51,Male,Miami,19,74.93,142,1
51743,Customer_51743,66,Male,Miami,13,61.45,421,0
22117,Customer_22117,44,Female,Houston,22,38.42,144,0
11690,Customer_11690,47,Female,Chicago,1,68.68,365,1
12719,Customer_12719,32,Female,Los Angeles,24,40.97,431,1
46766,Customer_46766,48,Male,New York,16,40.46,225,1
6579,Customer_6579,23,Male,Los Angeles,17,92.6,361,1
31297,Customer_31297,27,Female,Los Angeles,23,46.39,422,1
91603,Customer_91603,60,Female,Chicago,7,75.25,272,0
32554,Customer_32554,52,Male,Chicago,18,63.41,379,0
12021,Customer_12021,56,Male,New York,13,43.11,136,0
60594,Customer_60594,34,Female,Houston,19,56.42,378,1
18743,Customer_18743,28,Female,Miami,24,76.09,176,1
81152,Customer_81152,55,Female,Houston,3,46.59,295,1
44700,Customer_44700,54,Female,Houston,20,80.41,56,1
56928,Customer_56928,42,Male,Chicago,14,99.81,485,1
88262,Customer_88262,58,Male,Los Angeles,12,52.71,477,0
11731,Customer_11731,64,Female,Chicago,19,51.6,460,1
28171,Customer_28171,48,Male,Chicago,16,45.11,168,0
77701,Customer_77701,62,Female,New York,1,62.53,256,1
65934,Customer_65934,40,Female,Los Angeles,16,37.05,287,0
40720,Customer_40720,40,Male,Houston,13,65.51,242,1
96393,Customer_96393,70,Male,Miami,23,55.15,470,0
22407,Customer_22407,29,Female,Los Angeles,20,31.12,356,0
12776,Customer_12776,48,Female,Houston,3,71.6,371,1
42997,Customer_42997,21,Male,New York,20,80.53,464,0
29975,Customer_29975,62,Male,Houston,23,96.96,337,1
46888,Customer_46888,58,Male,Los Angeles,6,85.42,271,1
48383,Customer_48383,48,Male,New York,24,77.84,308,0
87776,Customer_87776,31,Female,Houston,8,97.63,279,0
99399,Customer_99399,37,Male,Los Angeles,4,93.36,257,1
91965,Customer_91965,19,Female,Houston,20,50.5,353,0
89992,Customer_89992,47,Male,New York,3,45.88,480,0
40810,Customer_40810,26,Female,Miami,4,68.52,73,1
18668,Customer_18668,48,Female,Los Angeles,4,43.28,314,0
439,Customer_439,65,Female,Houston,19,95.71,393,1
49028,Customer_49028,33,Female,Houston,23,46.45,318,0
77409,Customer_77409,22,Female,Chicago,9,84.62,468,1
74856,Customer_74856,40,Female,Chicago,2,61.12,369,0
98007,Customer_98007,53,Female,Los Angeles,2,99.98,365,1
4118,Customer_4118,33,Male,Miami,16,49.36,477,0
29950,Customer_29950,66,Male,New York,16,56.21,327,0
93352,Customer_93352,54,Female,New York,20,57.14,208,0
2732,Customer_2732,55,Male,Los Angeles,6,66.66,267,0
18222,Customer_18222,57,Male,New York,11,87.67,368,1
11192,Customer_11192,33,Female,New York,10,88.04,171,0
61539,Customer_61539,52,Female,Chicago,8,33.88,385,1
91708,Customer_91708,29,Female,New York,6,71.18,495,0
27687,Customer_27687,28,Male,Los Angeles,24,33.18,132,1
40433,Customer_40433,29,Female,New York,16,98.53,456,0
4768,Customer_4768,24,Female,New York,9,83.96,207,1
24260,Customer_24260,57,Male,Miami,10,59.0,55,1
25169,Customer_25169,41,Female,Chicago,4,84.67,92,0
68126,Customer_68126,56,Male,Miami,20,49.72,316,1
19022,Customer_19022,63,Female,Los Angeles,13,85.16,187,0
74151,Customer_74151,55,Female,Chicago,10,94.47,305,1
20471,Customer_20471,33,Male,New York,5,83.58,460,0
85643,Customer_85643,28,Male,Los Angeles,9,75.93,192,0
34354,Customer_34354,62,Female,Miami,1,68.06,178,1
3356,Customer_3356,37,Female,Miami,22,60.65,234,1
63961,Customer_63961,26,Female,New York,3,73.29,360,0
73910,Customer_73910,69,Female,Miami,22,96.76,243,0
26425,Customer_26425,67,Male,Los Angeles,6,62.33,154,0
76720,Customer_76720,69,Female,Miami,7,58.46,430,1
10921,Customer_10921,26,Female,Chicago,11,86.99,230,0
78556,Customer_78556,39,Male,Los Angeles,10,89.45,493,0
9346,Customer_9346,39,Female,Los Angeles,15,58.52,275,0
15442,Customer_15442,47,Male,Chicago,7,36.15,340,1
19422,Customer_19422,26,Female,Houston,19,55.31,223,0
85221,Customer_85221,64,Female,Chicago,2,67.51,446,1
33361,Customer_33361,33,Male,New York,5,94.95,397,1
98002,Customer_98002,55,Male,Miami,20,71.6,268,1
74265,Customer_74265,46,Male,Chicago,15,76.39,149,1
10635,Customer_10635,38,Female,Chicago,24,58.3,394,1
62160,Customer_62160,53,Male,Los Angeles,4,58.53,58,0
11788,Customer_11788,45,Female,New York,24,79.12,214,0
28509,Customer_28509,59,Female,Miami,23,53.06,83,1
31519,Customer_31519,42,Female,Los Angeles,4,86.26,266,1
51870,Customer_51870,30,Female,Houston,21,67.1,72,1
55819,Customer_55819,40,Female,Los Angeles,18,69.03,284,0
14157,Customer_14157,41,Female,Miami,8,40.87,407,0
72690,Customer_72690,29,Female,New York,12,92.23,107,0
53887,Customer_53887,53,Male,New York,20,63.94,68,0
77149,Customer_77149,60,Female,Miami,23,84.43,448,0
56903,Customer_56903,43,Male,Chicago,22,84.93,248,0
88770,Customer_88770,56,Female,New York,2,79.02,368,0
71258,Customer_71258,18,Female,Houston,2,34.72,496,1
44075,Customer_44075,61,Female,New York,19,52.38,150,0
6685,Customer_6685,38,Female,New York,17,39.93,83,0
28998,Customer_28998,48,Female,New York,16,68.09,439,0
76877,Customer_76877,58,Female,Los Angeles,13,33.03,352,1
24285,Customer_24285,33,Male,Chicago,4,46.85,467,1
87851,Customer_87851,25,Male,New York,19,37.12,461,1
60411,Customer_60411,44,Female,Houston,16,64.08,69,1
56380,Customer_56380,60,Male,Chicago,24,56.66,429,0
64228,Customer_64228,34,Female,New York,24,97.48,285,1
7212,Customer_7212,25,Male,New York,22,71.29,233,1
97743,Customer_97743,64,Male,Houston,24,71.05,287,0
31486,Customer_31486,60,Male,Los Angeles,20,80.42,332,0
7848,Customer_7848,50,Female,Houston,19,34.8,488,0
53282,Customer_53282,70,Male,New York,19,54.12,284,0
5022,Customer_5022,43,Female,Houston,7,37.89,245,1
69340,Customer_69340,65,Male,Chicago,10,88.98,146,1
55341,Customer_55341,19,Female,New York,17,34.26,108,1
72811,Customer_72811,59,Male,Los Angeles,23,89.5,60,0
1439,Customer_1439,18,Female,Los Angeles,22,43.24,79,1
62417,Customer_62417,64,Male,Los Angeles,3,83.43,161,0
89660,Customer_89660,36,Male,Chicago,12,63.92,88,1
70947,Customer_70947,20,Female,Houston,16,82.46,220,0
22534,Customer_22534,62,Male,Chicago,7,65.56,62,0
70973,Customer_70973,40,Female,New York,8,80.09,178,1
26063,Customer_26063,54,Male,Houston,14,54.88,262,1
77176,Customer_77176,63,Female,Miami,16,57.22,235,1
95882,Customer_95882,39,Male,Miami,23,49.2,306,0
99460,Customer_99460,60,Female,Houston,19,69.5,107,1
21292,Customer_21292,57,Male,Miami,13,43.59,100,0
4766,Customer_4766,42,Male,Miami,21,53.75,88,0
87060,Customer_87060,60,Male,Miami,22,68.96,406,0
46779,Customer_46779,28,Male,Chicago,1,31.14,193,0
24511,Customer_24511,69,Female,Los Angeles,8,58.65,429,1
16411,Customer_16411,33,Female,Houston,12,71.65,415,0
67836,Customer_67836,56,Female,Los Angeles,24,36.48,315,1
35271,Customer_35271,52,Female,Miami,20,65.59,124,1
45364,Customer_45364,30,Female,Los Angeles,1,60.5,368,1
22520,Customer_22520,18,Female,New York,10,56.57,182,1
79727,Customer_79727,46,Female,New York,5,69.78,173,1
60474,Customer_60474,21,Female,Miami,21,55.45,431,1
54840,Customer_54840,52,Female,Miami,3,68.07,405,0
96031,Customer_96031,66,Female,Chicago,22,51.82,265,0
67662,Customer_67662,38,Female,Los Angeles,22,67.97,255,0
83086,Customer_83086,18,Female,Miami,24,81.64,366,0
32007,Customer_32007,53,Male,Houston,5,37.13,280,0
61712,Customer_61712,34,Female,Miami,11,55.92,229,1
82599,Customer_82599,19,Female,New York,15,57.45,83,1
14978,Customer_14978,31,Female,Miami,6,91.79,479,0
93581,Customer_93581,24,Male,New York,22,76.42,101,0
92039,Customer_92039,68,Male,Miami,7,85.55,448,0
87532,Customer_87532,62,Male,Houston,3,90.83,222,0
32222,Customer_32222,57,Male,Los Angeles,5,66.96,72,1
61330,Customer_61330,39,Female,Houston,20,51.12,355,1
2949,Customer_2949,20,Male,Miami,24,35.09,344,0
94621,Customer_94621,70,Female,Los Angeles,17,98.93,308,1
438,Customer_438,59,Female,Los Angeles,13,41.99,127,0
82795,Customer_82795,68,Male,Chicago,17,44.7,227,1
75170,Customer_75170,34,Female,Houston,16,90.58,194,0
94649,Customer_94649,21,Male,Miami,10,68.73,286,0
83655,Customer_83655,31,Female,Houston,19,93.63,217,1
81209,Customer_81209,33,Male,Miami,17,35.17,168,1
33012,Customer_33012,62,Female,Miami,1,90.05,99,0
67567,Customer_67567,60,Female,Miami,21,44.66,256,0
72281,Customer_72281,39,Female,New York,22,77.9,105,0
81614,Customer_81614,27,Male,New York,9,87.4,148,1
4893,Customer_4893,19,Female,Miami,7,42.52,127,1
56161,Customer_56161,44,Female,Houston,9,97.37,376,1
44433,Customer_44433,27,Male,Chicago,1,77.22,318,1
14659,Customer_14659,45,Male,Chicago,11,40.13,279,0
79384,Customer_79384,68,Female,Miami,20,71.71,321,0
59864,Customer_59864,43,Male,Los Angeles,6,75.82,500,1
78650,Customer_78650,70,Male,Los Angeles,1,75.44,113,1
34501,Customer_34501,42,Female,Miami,22,67.42,245,1
81250,Customer_81250,61,Male,Miami,17,68.58,496,0
34628,Customer_34628,55,Female,New York,11,67.48,196,0
64859,Customer_64859,70,Male,Houston,15,83.68,292,1
96742,Customer_96742,70,Female,Miami,14,82.11,471,1
10089,Customer_10089,25,Male,Chicago,11,75.72,366,1
71901,Customer_71901,35,Male,Chicago,20,94.76,90,1
35854,Customer_35854,48,Male,Chicago,21,62.24,237,1
18351,Customer_18351,23,Female,Chicago,2,63.25,425,1
89729,Customer_89729,57,Male,Miami,17,68.41,309,1
35129,Customer_35129,70,Male,Los Angeles,14,87.6,440,0
19885,Customer_19885,51,Male,Chicago,5,93.2,362,0
31483,Customer_31483,24,Female,Chicago,18,77.1,480,1
43409,Customer_43409,59,Male,New York,6,94.31,362,0
52719,Customer_52719,59,Female,Miami,14,86.85,72,1
64318,Customer_64318,22,Female,Los Angeles,11,61.37,136,1
61982,Customer_61982,69,Male,Miami,11,39.64,111,0
44485,Customer_44485,67,Male,New York,4,57.02,307,1
30083,Customer_30083,24,Male,Los Angeles,23,71.27,490,0
74101,Customer_74101,65,Female,Miami,19,99.7,77,0
13383,Customer_13383,27,Female,Houston,16,73.28,134,1
14229,Customer_14229,48,Male,New York,8,85.82,499,1
14417,Customer_14417,59,Male,Houston,3,81.96,454,1
88044,Customer_88044,49,Male,Chicago,19,88.75,117,0
73523,Customer_73523,62,Male,Chicago,8,35.52,461,0
57262,Customer_57262,34,Male,Houston,16,89.39,343,1
33933,Customer_33933,62,Male,Los Angeles,7,73.85,56,1
66368,Customer_66368,34,Female,Miami,1,60.34,197,1
91782,Customer_91782,53,Male,Los Angeles,14,43.06,128,0
90932,Customer_90932,55,Female,Miami,2,96.95,245,1
52582,Customer_52582,28,Female,Los Angeles,24,95.35,236,1
26266,Customer_26266,46,Male,Los Angeles,22,90.42,342,0
86730,Customer_86730,55,Female,Chicago,3,54.73,413,0
88678,Customer_88678,64,Female,Miami,22,98.13,197,0
35845,Customer_35845,23,Male,Los Angeles,10,82.04,412,0
60178,Customer_60178,52,Male,Los Angeles,18,63.89,362,1
88151,Customer_88151,21,Female,Miami,6,40.11,78,1
346,Customer_346,23,Male,Miami,21,63.78,411,0
25155,Customer_25155,44,Male,Los Angeles,22,95.58,312,1
82636,Customer_82636,45,Male,Houston,21,96.92,434,0
81790,Customer_81790,37,Female,Houston,16,84.52,348,0
24661,Customer_24661,62,Male,Chicago,21,91.48,197,1
1123,Customer_1123,67,Male,Houston,11,72.45,150,1
21845,Customer_21845,23,Male,New York,10,51.26,91,1
37699,Customer_37699,63,Male,Houston,23,38.21,85,1
63330,Customer_63330,55,Male,Houston,17,46.98,90,1
40519,Customer_40519,33,Male,Chicago,17,75.26,363,1
97546,Customer_97546,19,Male,Houston,18,76.31,468,0
25405,Customer_25405,40,Male,Miami,21,65.27,498,0
12501,Customer_12501,49,Male,Los Angeles,13,66.27,124,1
55607,Customer_55607,55,Male,Houston,9,78.26,384,0
15135,Customer_15135,54,Male,Miami,16,46.17,496,0
90590,Customer_90590,25,Female,Miami,20,92.74,92,1
30308,Customer_30308,44,Female,Houston,2,48.61,453,0
35151,Customer_35151,67,Female,New York,17,79.54,428,1
21344,Customer_21344,59,Male,Los Angeles,10,61.46,250,0
43278,Customer_43278,40,Female,Chicago,1,47.69,449,1
85791,Customer_85791,24,Male,Chicago,24,64.96,67,1
11952,Customer_11952,18,Female,Houston,1,88.54,333,0
18889,Customer_18889,29,Male,Miami,4,33.81,393,0
29692,Customer_29692,25,Male,Chicago,21,33.27,307,0
91962,Customer_91962,65,Female,Miami,23,71.97,287,0
46035,Customer_46035,37,Female,Chicago,10,57.23,318,0
57025,Customer_57025,39,Male,New York,8,72.03,272,1
14428,Customer_14428,38,Female,New York,14,48.52,106,1
86611,Customer_86611,44,Female,Los Angeles,12,56.48,93,1
45932,Customer_45932,18,Female,Chicago,7,85.63,482,1
38427,Customer_38427,32,Male,Miami,10,71.71,342,1
52825,Customer_52825,66,Male,Chicago,10,36.35,349,0
51209,Customer_51209,49,Male,Chicago,4,79.14,335,0
82356,Customer_82356,63,Male,Chicago,17,58.87,492,0
93132,Customer_93132,60,Female,Miami,16,70.58,371,0
37513,Customer_37513,48,Male,New York,6,35.33,163,0
71854,Customer_71854,59,Female,Miami,12,59.97,168,0
81183,Customer_81183,26,Male,New York,7,34.6,315,0
9363,Customer_9363,57,Female,Miami,24,81.53,308,1
99145,Customer_99145,38,Male,Houston,4,56.58,403,1
4705,Customer_4705,35,Female,Miami,14,59.89,308,0
7944,Customer_7944,32,Male,New York,18,75.94,467,1
43966,Customer_43966,43,Female,New York,4,85.85,309,1
51214,Customer_51214,36,Male,New York,11,83.58,115,0
28021,Customer_28021,25,Male,Miami,11,98.21,200,1
49750,Customer_49750,25,Male,Chicago,16,34.28,240,0
11902,Customer_11902,64,Female,Miami,23,31.8,171,1
96187,Customer_96187,20,Male,Chicago,5,89.95,375,1
90428,Customer_90428,49,Female,Miami,23,35.21,299,0
21586,Customer_21586,23,Male,Houston,23,51.47,203,1
65237,Customer_65237,37,Female,Los Angeles,9,63.77,319,1
8141,Customer_8141,46,Male,Chicago,16,98.78,98,0
2422,Customer_2422,19,Male,New York,12,59.36,91,0
14679,Customer_14679,39,Female,Los Angeles,5,71.5,201,1
24117,Customer_24117,43,Male,Houston,8,75.6,193,0
5897,Customer_5897,65,Male,Chicago,16,95.38,277,0
712,Customer_712,34,Female,Miami,9,31.58,498,0
7849,Customer_7849,30,Female,Los Angeles,23,45.73,416,1
38505,Customer_38505,28,Male,Miami,7,63.09,403,0
49221,Customer_49221,31,Male,Miami,16,35.63,486,1
80335,Customer_80335,41,Female,Houston,22,84.24,469,0
19714,Customer_19714,27,Male,New York,18,38.56,344,0
13650,Customer_13650,41,Female,Miami,19,42.85,213,0
67629,Customer_67629,61,Male,Chicago,8,35.32,234,1
50723,Customer_50723,58,Male,New York,4,40.37,447,0
43864,Customer_43864,21,Female,New York,22,51.9,199,0
62169,Customer_62169,25,Female,Miami,23,63.98,230,1
78105,Customer_78105,60,Male,Houston,3,99.89,96,0
87835,Customer_87835,58,Female,Los Angeles,7,97.25,453,1
34710,Customer_34710,30,Female,Houston,17,91.19,131,0
38870,Customer_38870,65,Male,Miami,5,67.03,357,1
42133,Customer_42133,24,Female,Chicago,5,42.88,288,0
73212,Customer_73212,68,Male,Houston,5,93.7,348,1
21841,Customer_21841,35,Female,New York,13,47.86,445,0
60375,Customer_60375,48,Male,New York,14,77.07,447,0
85599,Customer_85599,27,Female,Chicago,13,73.55,462,1
81030,Customer_81030,39,Male,Chicago,13,55.6,174,0
64255,Customer_64255,64,Female,Los Angeles,20,94.02,124,0
73754,Customer_73754,39,Male,Chicago,7,36.58,127,0
62260,Customer_62260,44,Male,New York,22,79.96,101,0
68482,Customer_68482,57,Female,Houston,9,94.07,56,0
47437,Customer_47437,43,Male,New York,3,85.2,103,0
35664,Customer_35664,68,Male,Chicago,22,48.5,358,0
72462,Customer_72462,27,Male,Chicago,7,99.03,226,1
72442,Customer_72442,29,Male,Miami,24,68.14,357,0
2525,Customer_2525,44,Male,Houston,9,69.55,131,1
10141,Customer_10141,29,Male,Los Angeles,19,34.44,352,1
36819,Customer_36819,28,Male,Chicago,15,39.68,170,1
13780,Customer_13780,23,Male,Los Angeles,7,40.91,237,1
58544,Customer_58544,66,Female,Chicago,6,81.7,466,0
55213,Customer_55213,30,Male,Los Angeles,6,48.14,137,0
41019,Customer_41019,43,Female,Los Angeles,11,51.91,138,0
55997,Customer_55997,53,Male,Houston,14,77.35,472,1
99332,Customer_99332,21,Female,Chicago,10,87.67,285,1
99024,Customer_99024,38,Female,Miami,6,52.95,305,1
37996,Customer_37996,49,Female,Miami,6,38.69,248,0
30507,Customer_30507,19,Female,Chicago,20,79.62,173,0
6448,Customer_6448,52,Male,Los Angeles,5,92.79,253,0
10890,Customer_10890,53,Male,Los Angeles,24,70.31,283,0
9758,Customer_9758,39,Male,New York,13,70.11,391,1
32730,Customer_32730,18,Male,Chicago,13,58.8,68,1
89169,Customer_89169,34,Female,Chicago,1,31.47,352,0
55382,Customer_55382,29,Female,Chicago,3,41.11,498,1
55964,Customer_55964,60,Male,New York,19,36.16,483,1
74651,Customer_74651,24,Male,New York,22,38.65,68,1
45791,Customer_45791,47,Male,Miami,11,61.4,158,1
30870,Customer_30870,56,Female,Chicago,7,80.34,426,1
11023,Customer_11023,24,Female,Chicago,12,38.81,489,0
45410,Customer_45410,62,Female,Miami,23,96.2,333,0
9990,Customer_9990,67,Male,Houston,21,87.53,260,0
21471,Customer_21471,23,Female,Chicago,14,36.13,447,1
30291,Customer_30291,25,Female,New York,2,69.16,147,0
14398,Customer_14398,42,Male,Los Angeles,14,84.47,223,0
59868,Customer_59868,55,Female,Miami,21,48.21,289,0
87469,Customer_87469,23,Male,Los Angeles,15,80.52,349,0
2995,Customer_2995,28,Female,New York,17,94.27,203,1
20230,Customer_20230,54,Male,Houston,3,39.05,500,1
26322,Customer_26322,43,Female,Chicago,4,81.22,420,1
64178,Customer_64178,40,Female,Houston,3,99.43,422,1
94875,Customer_94875,61,Male,Los Angeles,4,52.41,230,0
67333,Customer_67333,28,Female,New York,17,36.34,354,1
36459,Customer_36459,37,Male,Houston,14,84.28,348,0
81207,Customer_81207,64,Female,New York,3,51.12,366,0
54199,Customer_54199,48,Female,Chicago,7,77.14,316,0
64841,Customer_64841,20,Female,New York,1,48.07,59,0
67955,Customer_67955,24,Female,Miami,7,51.2,362,1
38547,Customer_38547,44,Male,Houston,3,33.57,477,0
25137,Customer_25137,40,Female,Miami,12,87.7,317,0
8008,Customer_8008,59,Female,Chicago,14,91.53,266,0
21364,Customer_21364,18,Female,Chicago,23,94.07,370,0
44472,Customer_44472,69,Female,Chicago,16,52.59,317,0
59116,Customer_59116,66,Male,Miami,10,57.06,208,1
84196,Customer_84196,37,Male,Los Angeles,16,88.9,387,0
63213,Customer_63213,38,Female,Houston,2,31.74,219,0
59434,Customer_59434,52,Male,Chicago,10,76.05,480,0
13411,Customer_13411,24,Female,Miami,8,43.38,498,0
96928,Customer_96928,28,Male,Miami,6,42.94,198,1
33542,Customer_33542,51,Male,New York,21,87.43,204,0
8160,Customer_8160,37,Male,Los Angeles,7,80.58,295,1
74423,Customer_74423,30,Female,New York,1,80.13,327,0
7813,Customer_7813,28,Female,Houston,6,86.37,190,1
81505,Customer_81505,43,Male,Miami,16,59.79,170,0
60157,Customer_60157,67,Male,Los Angeles,5,55.28,262,0
66749,Customer_66749,53,Male,Houston,6,98.35,332,0
71293,Customer_71293,69,Female,Los Angeles,23,77.74,334,1
18494,Customer_18494,38,Male,Houston,21,51.89,393,0
2963,Customer_2963,26,Male,New York,2,54.21,159,0
64586,Customer_64586,21,Female,New York,15,78.54,189,1
30862,Customer_30862,49,Male,Chicago,7,61.7,349,0
46550,Customer_46550,56,Male,Houston,2,54.48,131,0
33118,Customer_33118,22,Male,New York,19,62.48,187,0
60248,Customer_60248,55,Male,New York,17,92.04,392,0
22608,Customer_22608,56,Female,Houston,4,49.56,312,1
97039,Customer_97039,19,Female,New York,10,85.58,309,0
49846,Customer_49846,51,Male,Houston,18,95.95,325,1
37599,Customer_37599,56,Female,Miami,17,62.95,445,1
94391,Customer_94391,18,Female,Chicago,8,85.59,473,0
7365,Customer_7365,47,Male,Miami,14,56.35,408,1
4215,Customer_4215,23,Male,Houston,23,40.62,354,0
92462,Customer_92462,67,Male,New York,13,65.44,337,1
69312,Customer_69312,61,Female,Miami,23,91.06,258,1
2351,Customer_2351,21,Female,New York,4,45.93,398,0
39903,Customer_39903,44,Female,Los Angeles,22,35.47,296,0
30098,Customer_30098,38,Male,Chicago,9,33.73,295,1
9935,Customer_9935,67,Male,Los Angeles,21,67.31,290,0
50503,Customer_50503,38,Female,Houston,8,33.1,175,1
44513,Customer_44513,56,Female,Chicago,3,69.2,148,1
80968,Customer_80968,25,Female,Los Angeles,5,85.49,291,1
